,,Conditions,,,,,,Results,,,,,Weighing,,,,,,,,,
Data file,Type,Solvent,Ligand,ResT /min,Temp /°C,Mol%,Yield /%,SM area,Product area,Biphenyl area,SM conc,Product conc,Volume /mL,Conc SM /M,Mol% catalyst,SM /g,Pd(OAc)2 /g,Ligand Mr,Ligand /g,NEt3 /mL,Biphenyl /g,Biphenyl /M
,Optimization,NMP,Xphos,19,75,4,14.78,,,,,,,,,,,,,,,
Changed to qNEI,Optimization,Toluene,DPEPhos,50,121,8,25.48,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,21,59,7,11.1,,,,,,,,,,,,,,,
,Optimization,NMP,Xphos,58,91,9,30.98,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,18,88,4,73.24,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,27,93,4,76.92,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,20,105,4,72.38,,,,,,,,,,,,,,,
,TEST,MeCN,JohnPhos,40,100,8,80.11,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,15,141,6,79.49,,,,,,,,,,,,,,,
