,,Conditions,,,,,,Results,,,,,Weighing,,,,,,,,,
Data file,Type,Solvent,Ligand,ResT /min,Temp /°C,Mol%,Yield /%,SM area,Product area,Biphenyl area,SM conc,Product conc,Volume /mL,Conc SM /M,Mol% catalyst,SM /g,Pd(OAc)2 /g,Ligand Mr,Ligand /g,NEt3 /mL,Biphenyl /g,Biphenyl /M
,Optimization,MeCN,JohnPhos,18,139,5,17.23,,,,,,,,,,,,,,,
,Optimization,NMP,Xphos,60,72,9,3.85,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,42,50,7,0.2,,,,,,,,,,,,,,,
,Optimization,NMP,DPEPhos,5,50,3,0,,,,,,,,,,,,,,,
,Optimization,Toluene,DPEPhos,54,150,4,1.56,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,23,150,6,21.7,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,25,132,6,21.5,,,,,,,,,,,,,,,
,Random,NMP,SPhos,36,141,90,13.7,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,30,149,6,27,,,,,,,,,,,,,,,
,Optimization,MeCN,JohnPhos,37,150,6,29.3,,,,,,,,,,,,,,,
