Type,Solvent,Ligand,ResT /min,Temp /°C,Mol% /%,Yield /%,SM area,Product area,Biphenyl area,SM conc,Product conc
Training,DMA (2),DPPE (5),43,94,3,1.28,26148692,349719,1381224,0.979555161,0.012731897
Training,CPME (1),SPhos (2),39,188,4,6.13,20486247,1376756,1956733,0.541718764,0.035380455
Training,MeCN (3),DPPF (1),87,146,3,1.95,19477539,398988,870757,1.157391136,0.023040976
Training,MeCN (3),SPhos (2),114,90,5,1.28,22763771,303134,1277453,0.922024203,0.011932398
Training,THF (4),DPPF (1),55,134,1,4.51,11501266,558929,549474,1.083032637,0.05115022
Training,THF (4),XPhos (3),94,107,1,1.39,14675342,212567,799457,0.949808748,0.013370226
Training,CPME (1),XPhos (3),28,192,1,14.23,8677774,1481940,1687416,0.266090406,0.044161769
Training,CPME (1),XPhos (3),82,117,3,2.12,13591653,303444,785593,0.895195143,0.019423118
Training,DMA (2),DPPE (5),58,209,2,69.98,6036822,14481792,239634,1.303475814,3.038868267
Training,MeCN (3),XPhos (3),116,120,2,1.54,8335694,134341,449286,0.959979417,0.015035702
Training,THF (4),DPPE (5),23,197,4,6.48,36103791,2574779,2574779,0.725530864,0.050284948
Training,DMA (2),DPEPhos (4),72,104,5,1.36,18818018,266300,949030,1.025975481,0.014110072
Training,MeCN (3),SPhos (2),48,179,5,4.7,60435941,3065151,6852348,0.456350911,0.02249316
Training,DMA (2),DPEPhos (4),108,180,5,5.52,60775624,3656482,4857748,0.64734752,0.037850051
Training,CPME (1),DPEPhos (4),79,139,1,3.22,86614752,2963439,10544791,0.425007832,0.014131752
Training,THF (4),DPPF (1),34,171,3,20.16,39252703,10198861,3189033,0.636874116,0.160816522
Optimization,DMA (2),DPPE (5),117,93,3,2.4,0,0,0,0,0
Optimization,DMA (2),DPEPhos (4),28,93,3,1.3,0,0,0,0,0
Optimization,DMA (2),DPPE (5),43,186,3,3.37,0,0,0,0,0
Optimization,CPME (1),DPPF (1),120,210,1,11,0,0,0,0,0
Optimization,MeCN (3),DPPF (1),52,141,2,1.4,0,0,0,0,0
Not run,CPME (1),XPhos (3),65,94,2,1,0,0,0,0,0
Optimization,DMA (2),SPhos (2),36,210,2,4.8,0,0,0,0,0
Optimization,MeCN (3),DPPF (1),64,209,3,4.2,0,0,0,0,0
Optimization,DMA (2),DPPF (1),24,189,2,4.1,0,0,0,0,0
Optimization,MeCN (3),DPPF (1),61,189,4,3.2,0,0,0,0,0
Optimization,CPME (1),DPPF (1),53,206,3,8.7,0,0,0,0,0
